"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"17:09:47:270","69904436189905","   1.005","   1.665"," 2082"," 1200"," 3600"," 2309","   2.470","   2.483","   0.690","   0.761","   0.764","   0.212"," 44","0"," 41"," 46","   1.228","   1.234","   0.343","  45.000","    0","    0"
"17:09:48:276","69907357073668","   2.011","   1.350"," 1917"," 1200"," 3600"," 2109","   2.087","   4.581","   1.273","   0.552","   1.320","   0.367"," 44","0"," 41"," 44","   1.113","   2.354","   0.654","  45.000","    0","    0"
"17:09:49:281","69910276468192","   3.016","   0.830"," 2012"," 1200"," 3600"," 2193","   1.789","   6.380","   1.772","   0.369","   1.691","   0.470"," 44","0"," 41"," 44","   1.069","   3.428","   0.952","  45.000","    0","    0"
"17:09:50:287","69913196093674","   4.022","   0.813"," 1914"," 1200"," 3600"," 2142","   1.784","   8.174","   2.271","   0.359","   2.051","   0.570"," 44","0"," 41"," 44","   1.069","   4.504","   1.251","  45.000","    0","    0"
"17:09:51:292","69916115534932","   5.027","   0.814"," 2024"," 1200"," 3600"," 2224","   1.773","   9.956","   2.766","   0.352","   2.406","   0.668"," 44","0"," 41"," 44","   1.066","   5.575","   1.549","  45.000","    0","    0"
"17:09:52:298","69919035243954","   6.032","   1.153"," 2079"," 1200"," 3600"," 2397","   1.936","  11.902","   3.306","   0.508","   2.916","   0.810"," 44","0"," 40"," 45","   1.070","   6.651","   1.847","  45.000","    0","    0"
"17:09:53:303","69921954669886","   7.038","   2.794"," 1648"," 1200"," 3600"," 1786","   2.374","  14.288","   3.969","   0.852","   3.773","   1.048"," 43","0"," 41"," 49","   1.092","   7.748","   2.152","  45.000","    0","    0"
"17:09:54:303","69924859878079","   8.038","   2.277"," 1600"," 1200"," 3600"," 1716","   2.151","  16.441","   4.567","   0.649","   4.422","   1.228"," 43","0"," 41"," 45","   1.145","   8.894","   2.471","  45.000","    0","    0"
"17:09:55:304","69927765508255","   9.039","   1.258"," 2009"," 1200"," 3600"," 2319","   1.977","  18.419","   5.116","   0.534","   4.956","   1.377"," 43","0"," 41"," 45","   1.070","   9.965","   2.768","  45.000","    0","    0"
"17:09:56:306","69930675659607","  10.041","   1.202"," 1857"," 1200"," 3600"," 1990","   1.899","  20.322","   5.645","   0.460","   5.417","   1.505"," 44","0"," 41"," 44","   1.072","  11.039","   3.066","  45.000","    0","    0"
"17:09:57:311","69933594865991","  11.046","   1.330"," 1817"," 1200"," 3600"," 1947","   1.955","  22.287","   6.191","   0.508","   5.927","   1.646"," 44","0"," 40"," 44","   1.077","  12.122","   3.367","  45.000","    0","    0"
"17:09:58:312","69936499845002","  12.047","   1.126"," 1850"," 1200"," 3600"," 2039","   1.914","  24.202","   6.723","   0.443","   6.371","   1.770"," 44","0"," 41"," 44","   1.091","  13.213","   3.670","  45.000","    0","    0"
"17:09:59:317","69939419378379","  13.052","   1.122"," 1768"," 1200"," 3600"," 1920","   1.842","  26.053","   7.237","   0.408","   6.780","   1.883"," 43","0"," 41"," 44","   1.071","  14.289","   3.969","  45.000","    0","    0"
"17:10:00:319","69942328178084","  14.054","   1.098"," 1869"," 1200"," 3600"," 2052","   1.923","  27.979","   7.772","   0.432","   7.213","   2.004"," 44","0"," 41"," 45","   1.103","  15.394","   4.276","  45.000","    0","    0"
"17:10:01:324","69945247660069","  15.059","   1.154"," 1840"," 1200"," 3600"," 2032","   1.889","  29.878","   8.300","   0.446","   7.661","   2.128"," 43","0"," 41"," 44","   1.076","  16.475","   4.577","  45.000","    0","    0"
"17:10:02:329","69948167051970","  16.064","   1.343"," 1844"," 1200"," 3600"," 1981","   1.939","  31.828","   8.841","   0.505","   8.169","   2.269"," 43","0"," 40"," 44","   1.071","  17.552","   4.876","  45.000","    0","    0"
"17:10:03:334","69951083234944","  17.068","   1.111"," 1817"," 1200"," 3600"," 2002","   1.880","  33.716","   9.365","   0.431","   8.601","   2.389"," 43","0"," 41"," 44","   1.082","  18.639","   5.177","  45.000","    0","    0"
"17:10:04:336","69953995155386","  18.071","   1.075"," 1828"," 1200"," 3600"," 1972","   1.889","  35.610","   9.892","   0.451","   9.053","   2.515"," 43","0"," 41"," 43","   1.072","  19.714","   5.476","  45.000","    0","    0"
"17:10:05:342","69956914434135","  19.076","   1.173"," 1816"," 1200"," 3600"," 1957","   1.876","  37.496","  10.416","   0.435","   9.490","   2.636"," 43","0"," 41"," 44","   1.076","  20.795","   5.776","  45.000","    0","    0"
"17:10:06:346","69959830907930","  20.081","   1.221"," 1865"," 1200"," 3600"," 2133","   1.883","  39.387","  10.941","   0.454","   9.947","   2.763"," 43","0"," 41"," 44","   1.070","  21.870","   6.075","  45.000","    0","    0"
"17:10:07:350","69962747868603","  21.085","   3.132"," 1685"," 1200"," 3600"," 1819","   2.506","  41.904","  11.640","   1.003","  10.954","   3.043"," 43","0"," 41"," 46","   1.088","  22.963","   6.379","  45.000","    0","    0"
"17:10:08:356","69965667305422","  22.091","   1.591"," 1793"," 1200"," 3600"," 1932","   2.047","  43.961","  12.212","   0.558","  11.515","   3.199"," 44","0"," 41"," 44","   1.101","  24.070","   6.686","  45.000","    0","    0"
"17:10:09:361","69968586829843","  23.096","   1.536"," 1711"," 1200"," 3600"," 1805","   1.984","  45.956","  12.765","   0.526","  12.044","   3.346"," 43","0"," 40"," 44","   1.083","  25.159","   6.989","  45.000","    0","    0"
"17:10:10:364","69971498146510","  24.098","   2.151"," 1754"," 1200"," 3600"," 1895","   2.187","  48.148","  13.374","   0.719","  12.765","   3.546"," 43","0"," 41"," 45","   1.086","  26.247","   7.291","  45.000","    0","    0"
"17:10:11:366","69974408056726","  25.101","   1.442"," 1801"," 1200"," 3600"," 1981","   1.936","  50.088","  13.913","   0.492","  13.258","   3.683"," 43","0"," 40"," 43","   1.078","  27.327","   7.591","  45.000","    0","    0"
"17:10:12:371","69977327259281","  26.106","   1.321"," 1775"," 1200"," 3600"," 1919","   1.904","  52.002","  14.445","   0.469","  13.729","   3.814"," 43","0"," 41"," 44","   1.073","  28.406","   7.891","  45.000","    0","    0"
"17:10:13:376","69980246781613","  27.111","   1.041"," 1825"," 1200"," 3600"," 1983","   1.875","  53.888","  14.969","   0.411","  14.143","   3.928"," 43","0"," 41"," 44","   1.091","  29.503","   8.195","  45.000","    0","    0"
"17:10:14:378","69983154816023","  28.113","   1.130"," 2043"," 1200"," 3600"," 2374","   1.928","  55.818","  15.505","   0.485","  14.628","   4.063"," 43","0"," 40"," 44","   1.077","  30.582","   8.495","  45.000","  350","  333"
"17:10:15:383","69986073900639","  29.118","   2.937"," 1692"," 1200"," 3600"," 1869","   2.513","  58.344","  16.207","   0.967","  15.600","   4.333"," 43","0"," 41"," 47","   1.100","  31.687","   8.802","  45.000","    0","    0"
"17:10:16:386","69988987193391","  30.121","   1.194"," 1793"," 1200"," 3600"," 1989","   1.873","  60.223","  16.728","   0.439","  16.041","   4.456"," 43","0"," 41"," 43","   1.070","  32.760","   9.100","  45.000","    0","    0"
"17:10:17:389","69991901047258","  31.124","   1.786"," 2273"," 1200"," 3600"," 2570","   2.427","  62.658","  17.405","   0.947","  16.991","   4.720"," 44","0"," 40"," 49","   1.087","  33.850","   9.403","  45.000","    0","    0"
"17:10:18:394","69994818349439","  32.129","   1.092"," 1952"," 1200"," 3600"," 2157","   1.915","  64.582","  17.939","   0.455","  17.448","   4.847"," 43","0"," 41"," 43","   1.090","  34.946","   9.707","  45.000","    0","    0"

"Total Elapsed Time (sec) = 32.128983"
"Measured RDTSC Frequency (GHz) = 2.904"

"Cumulative Package Energy_0 (Joules) = 64.581543"
"Cumulative Package Energy_0 (mWh) = 17.939317"
"Average Package Power_0 (Watt) = 2.010071"

"Cumulative IA Energy_0 (Joules) = 17.447510"
"Cumulative IA Energy_0 (mWh) = 4.846530"
"Average Package IA_0 (Watt) = 0.543046"

"Cumulative DRAM Energy_0 (Joules) = 34.945618"
"Cumulative DRAM Energy_0 (mWh) = 9.707116"
"Average Package DRAM_0 (Watt) = 1.087666"
