System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:37:21:324, 278550042156142,    0.101,    5.000, 4100,   4.088,   0.413,   0.115,   2.666,   0.270,   0.075, 43,  0,   1.519,   0.154,   0.043,   0.004,   0.000,   0.000,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:21:426, 278550305849848,    0.203,    4.000,  900,   3.581,   0.778,   0.216,   2.403,   0.514,   0.143, 42,  0,   1.521,   0.308,   0.086,   0.012,   0.002,   0.000,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:21:529, 278550574013740,    0.306,    5.000,  800,   2.775,   1.065,   0.296,   1.629,   0.683,   0.190, 42,  0,   1.505,   0.464,   0.129,   0.014,   0.003,   0.001,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:21:633, 278550842272738,    0.410,    6.000, 4200,  12.176,   2.325,   0.646,  10.659,   1.786,   0.496, 42,  0,   1.604,   0.630,   0.175,   0.064,   0.010,   0.003,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.197
11:37:21:735, 278551107564754,    0.512,    6.000, 4100,   7.107,   3.052,   0.848,   5.973,   2.397,   0.666, 57,  0,   1.519,   0.786,   0.218,   0.014,   0.011,   0.003,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:21:874, 278551467837296,    0.651,   11.000, 4100,  22.803,   6.222,   1.728,  21.152,   5.337,   1.483, 64,  0,   1.444,   0.986,   0.274,   0.043,   0.017,   0.005,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.230
11:37:21:999, 278551791098448,    0.776,    4.000, 1400,   8.140,   7.237,   2.010,   6.754,   6.180,   1.717, 43,  0,   1.488,   1.172,   0.326,   0.034,   0.021,   0.006,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.261
11:37:22:105, 278552067430614,    0.882,    8.000,  900,   3.571,   7.618,   2.116,   2.183,   6.412,   1.781, 42,  0,   1.515,   1.333,   0.370,   0.041,   0.026,   0.007,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.473
11:37:22:211, 278552340652540,    0.988,    6.000,  900,   3.402,   7.976,   2.216,   2.006,   6.624,   1.840, 42,  0,   1.586,   1.501,   0.417,   0.051,   0.031,   0.009,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   1.939
11:37:22:316, 278552612632000,    1.093,    5.000,  900,   2.855,   8.276,   2.299,   1.656,   6.797,   1.888, 41,  0,   1.511,   1.659,   0.461,   0.015,   0.033,   0.009,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:22:419, 278552880722620,    1.196,    5.000,  900,   2.779,   8.564,   2.379,   1.631,   6.966,   1.935, 41,  0,   1.495,   1.814,   0.504,   0.015,   0.034,   0.009,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:22:523, 278553150929110,    1.301,    5.000, 4200,   3.576,   8.936,   2.482,   2.382,   7.214,   2.004, 41,  0,   1.502,   1.970,   0.547,   0.015,   0.036,   0.010,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:22:625, 278553414067878,    1.402,    4.000, 2700,   9.386,   9.889,   2.747,   7.985,   8.025,   2.229, 42,  0,   1.655,   2.138,   0.594,   0.014,   0.037,   0.010,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:22:727, 278553678103256,    1.504,    5.000, 4000,   3.988,  10.295,   2.860,   2.625,   8.292,   2.303, 42,  0,   1.600,   2.302,   0.639,   0.035,   0.041,   0.011,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.670
11:37:22:829, 278553942558680,    1.606,    6.000, 2600,   7.078,  11.018,   3.060,   5.774,   8.882,   2.467, 42,  0,   1.599,   2.465,   0.685,   0.012,   0.042,   0.012,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:22:930, 278554205741404,    1.707,    5.000,  900,   3.071,  11.329,   3.147,   1.910,   9.075,   2.521, 42,  0,   1.519,   2.619,   0.727,   0.011,   0.043,   0.012,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:23:033, 278554473620178,    1.811,    7.000,  900,   3.338,  11.674,   3.243,   2.072,   9.290,   2.580, 42,  0,   1.536,   2.778,   0.772,   0.015,   0.045,   0.012,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:23:137, 278554741953288,    1.914,    5.000, 3900,   3.004,  11.985,   3.329,   1.870,   9.483,   2.634, 42,  0,   1.486,   2.932,   0.814,   0.016,   0.046,   0.013,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:23:240, 278555008485952,    2.017,    4.000, 1200,   5.342,  12.535,   3.482,   4.053,   9.900,   2.750, 41,  0,   1.539,   3.090,   0.858,   0.061,   0.052,   0.015,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.170
11:37:23:344, 278555278843134,    2.121,    5.000,  900,   2.969,  12.844,   3.568,   1.739,  10.081,   2.800, 41,  0,   1.533,   3.250,   0.903,   0.013,   0.054,   0.015,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:23:447, 278555546196030,    2.225,    6.000,  900,   3.214,  13.176,   3.660,   1.856,  10.273,   2.854, 41,  0,   1.478,   3.402,   0.945,   0.017,   0.056,   0.015,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:23:551, 278555815185864,    2.328,    5.000,  900,   2.794,  13.466,   3.740,   1.568,  10.435,   2.899, 41,  0,   1.514,   3.559,   0.989,   0.014,   0.057,   0.016,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:23:655, 278556084964296,    2.432,    4.000, 1200,   4.133,  13.896,   3.860,   2.843,  10.731,   2.981, 41,  0,   1.562,   3.722,   1.034,   0.016,   0.059,   0.016,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.000
11:37:23:758, 278556351151396,    2.535,    5.000, 2700,   4.318,  14.339,   3.983,   2.931,  11.032,   3.065, 42,  0,   1.579,   3.884,   1.079,   0.062,   0.065,   0.018,  56.000,  90.000, 130.000,   0.000, 320.000,    0,   0.143
